"";"Num";"GQ";"Freq";"Rank";"LogFreq";"LogRank";"Class";"DC";"Exp";"Typ";"MonL";"MonR";"Lwords";"Lchars";"LogLchars"
"1";1;" every/dt  ";246492;5;12,4150888744957;1,6094379124341;"ari";"L";"FO";NA;"down";"up";"1";5;1,6094379124341
"2";2;" all/dt  ";710149;2;13,4732314943093;0,693147180559945;"ari";"L";"FO";NA;"down";"up";"1";3;1,09861228866811
"3";3;" all/pdt  ";168661;8;12,0356519912345;2,07944154167984;"ari";"L";"FO";NA;"down";"up";"1";3;1,09861228866811
"4";4;" each/dt [a-z]{1,12}/nn  ";200337;7;12,2077612190871;1,94591014905531;"ari";"L";"FO";NA;"down";"up";"1";4;1,38629436111989
"5";5;" no/dt  ";464755;4;13,0492678156671;1,38629436111989;"ari";"L";"FO";NA;"down";"down";"1";2;0,693147180559945
"6";6;" some/dt ";742134;1;13,5172864463011;0;"ari";"L";"FO";NA;"up";"up";"1";4;1,38629436111989
"7";7;" more/rbr than/in [a-z]{1,12}/cd  ";81;20;4,40671924726425;2,99573227355399;"cnt";"L";"FO";"comp";"up";"up";"3";8;2,07944154167984
"8";8;" more/jjr than/in [a-z]{1,12}/cd  ";24826;10;10,1196870496159;2,30258509299405;"cnt";"L";"FO";"comp";"up";"up";"3";8;2,07944154167984
"9";9;" at/in least/jjs [a-z]{1,12}/cd  ";26210;9;10,1739344489662;2,19722457733622;"cnt";"L";"FO";"supe";"up";"up";"3";7;1,94591014905531
"10";10;" less/rbr than/in [a-z]{1,12}/cd  ";0;31;0;3,43398720448515;"cnt";"L";"FO";"comp";"down";"down";"3";8;2,07944154167984
"11";11;" fewer/jjr than/in [a-z]{1,12}/cd  ";0;31;0;3,43398720448515;"cnt";"L";"FO";"comp";"down";"down";"3";9;2,19722457733622
"12";12;" at/in most/jjs [a-z]{1,12}/cd  ";609;17;6,41345895716736;2,83321334405622;"cnt";"L";"FO";"supe";"down";"down";"3";6;1,79175946922805
"13";13;" less/jjr than/in [a-z]{1,12}/cd  ";5344;12;8,58391682345914;2,484906649788;"cnt";"L";"FO";"comp";"down";"down";"3";8;2,07944154167984
"14";14;" fewer/jjr than/in [a-z]{1,12}/cd  ";0;31;0;3,43398720448515;"cnt";"L";"FO";"comp";"down";"down";"3";9;2,19722457733622
"15";15;" most/dt  ";0;31;0;3,43398720448515;"pro";"P";"SO";"comp";"none";"up";"1";4;1,38629436111989
"16";16;" more/rbr than/in half/nn  ";121;18;4,80402104473326;2,91777073208428;"pro";"P";"SO";"comp";"none";"up";"3";12;2,484906649788
"17";17;" most/jjs [a-z]{1,12}/nns  ";675723;3;13,4235399876308;1,09861228866811;"pro";"P";"SO";"comp";"none";"up";"1";4;1,38629436111989
"18";18;" most/rbs [a-z]{1,12}/nns  ";11699;11;9,36734412078585;2,39789527279837;"pro";"P";"SO";"comp";"none";"up";"1";4;1,38629436111989
"19";19;" more/jjr than/in half/nn  ";928;14;6,83410873881384;2,67414864942653;"pro";"P";"SO";"comp";"none";"up";"3";12;2,484906649788
"20";20;" few/dt  ";0;31;0;3,43398720448515;NA;NA;NA;NA;NA;NA;"1";3;1,09861228866811
"21";21;" less/rbr than/in half/nn  ";27;21;3,3322045101752;3,06805293513362;"pro";"P";"SO";"comp";"none";"down";"3";12;2,484906649788
"22";22;" fewer/jjr than/in half/nn  ";0;31;0;3,43398720448515;"pro";"P";"SO";"comp";"none";"down";"3";13;2,56494935746154
"23";23;" few/jj [a-z]{1,12}/nns  ";209324;6;12,2516433470726;1,79175946922805;NA;NA;NA;NA;NA;NA;"1";3;1,09861228866811
"24";24;" at/in least/jj half/nn  ";0;31;0;3,43398720448515;"pro";"P";"SO";"supe";"none";"up";"3";11;2,39789527279837
"25";25;" more/rbr than/in half/nn  ";121;18;4,80402104473326;2,91777073208428;"pro";"P";"SO";"comp";"none";"up";"3";12;2,484906649788
"26";26;" more/jjr than/in half/nn  ";928;14;6,83410873881384;2,67414864942653;"pro";"P";"SO";"comp";"none";"up";"3";12;2,484906649788
"27";27;" at/in least/jjs [a-z]{1,12}/cd [a-z]{1,12}/nns of/in  ";969;13;6,87729607149743;2,56494935746154;"pro";"P";"SO";"supe";"none";"up";"5";9;2,19722457733622
"28";28;" more/rbr than/in [a-z]{1,12}/cd [a-z]{1,12}/nns of/in  ";3;25;1,38629436111989;3,2188758248682;"pro";"P";"SO";"comp";"none";"up";"5";12;2,484906649788
"29";29;" more/jjr than/in [a-z]{1,12}/cd [a-z]{1,12}/nns of/in  ";636;16;6,45676965557216;2,77258872223978;"pro";"P";"SO";"comp";"none";"up";"5";10;2,30258509299405
