"";"Num";"GQ";"Freq";"Rank";"LogFreq";"LogRank";"Class";"DC";"Exp";"Typ";"MonL";"MonR";"Lwords";"Lchars";"LogLchars"
"1";1;" every/dt  ";246492;5;12,4150888744957;1,6094379124341;"ari";"L";"FO";NA;"down";"up";"1";5;1,6094379124341
"2";2;" all/dt  ";710149;2;13,4732314943093;0,693147180559945;"ari";"L";"FO";NA;"down";"up";"1";3;1,09861228866811
"3";3;" all/pdt  ";168661;8;12,0356519912345;2,07944154167984;"ari";"L";"FO";NA;"down";"up";"1";3;1,09861228866811
"4";4;" each/dt [a-z]{1,12}/nn  ";200337;7;12,2077612190871;1,94591014905531;"ari";"L";"FO";NA;"down";"up";"1";4;1,38629436111989
"5";5;" no/dt  ";464755;4;13,0492678156671;1,38629436111989;"ari";"L";"FO";NA;"down";"down";"1";2;0,693147180559945
"6";6;" some/dt ";742134;1;13,5172864463011;0;"ari";"L";"FO";NA;"up";"up";"1";4;1,38629436111989
"15";15;" most/dt  ";0;31;0;3,43398720448515;"pro";"P";"SO";"comp";"none";"up";"1";4;1,38629436111989
"17";17;" most/jjs [a-z]{1,12}/nns  ";675723;3;13,4235399876308;1,09861228866811;"pro";"P";"SO";"comp";"none";"up";"1";4;1,38629436111989
"18";18;" most/rbs [a-z]{1,12}/nns  ";11699;11;9,36734412078585;2,39789527279837;"pro";"P";"SO";"comp";"none";"up";"1";4;1,38629436111989
"20";20;" few/dt  ";0;31;0;3,43398720448515;NA;NA;NA;NA;NA;NA;"1";3;1,09861228866811
"23";23;" few/jj [a-z]{1,12}/nns  ";209324;6;12,2516433470726;1,79175946922805;NA;NA;NA;NA;NA;NA;"1";3;1,09861228866811
